id,cell_count,cell_type,staining,objective,markers,set
507,0,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1098,2,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
202,19,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
184,11,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1163,0,AHPC,Cy3,20x,PI,trainval
204,7,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2065,22,AHPC,Cy3,20x,MAP2ab,trainval
519,7,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
583,0,AHPC,Cy3,20x,PI,trainval
2480,97,AHPC,Cy3,20x,Ki67 + RIP,trainval
96,4,AHPC,AF488,20x,GFAP + Ki67,trainval
2279,142,AHPC,Cy3,20x,Ki67 + RIP,trainval
2024,2,AHPC,AF488,20x,GFAP + Ki67,trainval
247,0,AHPC,Cy3,20x,PI,trainval
2811,24,RPC,Cy3,40x,MAP2ab,trainval
2071,29,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1703,0,AHPC,Cy3,20x,PI,trainval
1812,10,AHPC,AF488,20x,MAP2ab,trainval
925,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2254,297,AHPC,Cy3,20x,Ki67 + RIP,trainval
2549,158,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1319,1,AHPC,AF488,20x,GFAP + Ki67,trainval
886,51,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
47,20,AHPC,Cy3,20x,RIP,trainval
1237,2,AHPC,Cy3,20x,PI,trainval
977,0,AHPC,Cy3,20x,PI,trainval
1800,12,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1459,5,AHPC,Cy3,20x,PI,trainval
1491,0,AHPC,Cy3,20x,PI,trainval
2852,81,RPC,Cy3,40x,TuJ1,trainval
2665,106,AHPC,Cy3,20x,PI,trainval
1527,8,AHPC,Cy3,20x,RIP,trainval
499,5,AHPC,Cy3,20x,MAP2ab,trainval
2775,5,RPC,Cy3,40x,GFAP,trainval
2600,19,AHPC,Cy3,20x,PI,trainval
2421,78,AHPC,AF488,20x,MAP2ab,trainval
572,0,AHPC,Cy3,20x,PI,trainval
2611,22,AHPC,Cy3,20x,PI,trainval
1233,0,AHPC,Cy3,20x,PI,trainval
1596,7,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2567,0,AHPC,Cy3,20x,GFAP,trainval
2468,151,AHPC,Cy3,20x,Ki67 + RIP,trainval
505,4,AHPC,Cy3,20x,MAP2ab,trainval
635,0,AHPC,Cy3,20x,PI,trainval
1086,12,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2862,87,RPC,Cy3,40x,TuJ1,trainval
2362,125,AHPC,Cy3,20x,PI,trainval
1881,10,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2222,7,AHPC,Cy3,20x,PI,trainval
1188,0,AHPC,Cy3,20x,PI,trainval
2681,111,RPC,Cy3,40x,TuJ1,trainval
2612,37,AHPC,Cy3,20x,PI,trainval
1037,1,AHPC,AF488,20x,GFAP + Ki67,trainval
1680,0,AHPC,Cy3,20x,PI,trainval
645,0,AHPC,Cy3,20x,PI,trainval
2630,58,AHPC,Cy3,20x,PI,trainval
1059,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2654,45,AHPC,Cy3,20x,PI,trainval
475,10,AHPC,Cy3,20x,MAP2ab,trainval
1005,8,AHPC,Cy3,20x,RIP,trainval
618,0,AHPC,Cy3,20x,PI,trainval
2471,38,AHPC,AF488,20x,Ki67 + RIP,trainval
1551,14,AHPC,Cy3,20x,MAP2ab,trainval
831,0,AHPC,AF488,20x,MAP2ab,trainval
2126,0,AHPC,Cy3,20x,PI,trainval
1179,0,AHPC,Cy3,20x,PI,trainval
521,18,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
3011,14,RPC,Cy3,40x,TuJ1,trainval
1780,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2735,80,RPC,Cy3,40x,TuJ1,trainval
2643,27,AHPC,Cy3,20x,PI,trainval
1090,5,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2587,58,AHPC,Cy3,20x,PI,trainval
1395,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2536,119,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
128,6,AHPC,AF488,20x,GFAP + Ki67,trainval
1032,1,AHPC,AF488,20x,GFAP + Ki67,trainval
1563,8,AHPC,Cy3,20x,MAP2ab,trainval
1147,10,AHPC,Cy3,20x,MAP2ab,trainval
456,1,AHPC,AF488,20x,GFAP + Ki67,trainval
2520,91,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
481,11,AHPC,Cy3,20x,MAP2ab,trainval
298,5,AHPC,Cy3,20x,PI,trainval
1445,0,AHPC,Cy3,20x,PI,trainval
584,0,AHPC,Cy3,20x,PI,trainval
2657,24,AHPC,Cy3,20x,PI,trainval
2756,180,RPC,Cy3,40x,TuJ1,trainval
303,15,AHPC,Cy3,20x,PI,trainval
1481,0,AHPC,Cy3,20x,PI,trainval
2810,58,RPC,Cy3,40x,MAP2ab,trainval
2257,125,AHPC,Cy3,20x,Ki67 + RIP,trainval
495,18,AHPC,Cy3,20x,MAP2ab,trainval
1127,8,AHPC,Cy3,20x,MAP2ab,trainval
2926,50,RPC,Cy3,40x,TuJ1,trainval
1757,0,AHPC,Cy3,20x,PI,trainval
176,72,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1666,2,AHPC,AF488,20x,GFAP + Ki67,trainval
624,0,AHPC,Cy3,20x,PI,trainval
909,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1259,9,AHPC,Cy3,20x,RIP,trainval
2488,179,AHPC,Cy3,20x,Ki67 + RIP,trainval
319,0,AHPC,Cy3,20x,PI,trainval
488,8,AHPC,Cy3,20x,MAP2ab,trainval
994,6,AHPC,Cy3,20x,RIP,trainval
1012,4,AHPC,Cy3,20x,RIP,trainval
2564,0,AHPC,Cy3,20x,GFAP,trainval
653,2,AHPC,Cy3,20x,PI,trainval
1141,6,AHPC,Cy3,20x,MAP2ab,trainval
375,3,AHPC,Cy3,20x,PI,trainval
515,6,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
69,15,AHPC,Cy3,20x,RIP,trainval
936,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
929,6,AHPC,AF488,20x,GFAP + Ki67,trainval
442,0,AHPC,AF488,20x,GFAP + Ki67,trainval
550,13,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
549,23,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2204,5,AHPC,Cy3,20x,PI,trainval
866,7,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
820,45,AHPC,AF488,20x,MAP2ab,trainval
1494,0,AHPC,Cy3,20x,PI,trainval
2513,160,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
728,0,AHPC,Cy3,20x,PI,trainval
169,11,AHPC,Cy3,20x,MAP2ab,trainval
76,6,AHPC,Cy3,20x,RIP,trainval
1218,0,AHPC,Cy3,20x,PI,trainval
53,31,AHPC,Cy3,20x,RIP,trainval
2930,33,RPC,Cy3,40x,TuJ1,trainval
347,1,AHPC,Cy3,20x,PI,trainval
86,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1818,8,AHPC,AF488,20x,MAP2ab,trainval
1544,27,AHPC,Cy3,20x,MAP2ab,trainval
1763,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1849,4,AHPC,AF488,20x,MAP2ab,trainval
433,20,AHPC,Cy3,20x,RIP,trainval
1899,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1745,0,AHPC,Cy3,20x,PI,trainval
553,8,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
755,0,AHPC,Cy3,20x,PI,trainval
2069,25,AHPC,Cy3,20x,MAP2ab,trainval
1114,6,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1031,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1410,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1175,0,AHPC,Cy3,20x,PI,trainval
1251,4,AHPC,Cy3,20x,RIP,trainval
1440,3,AHPC,Cy3,20x,PI,trainval
680,2,AHPC,Cy3,20x,PI,trainval
1107,5,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1949,1,AHPC,Cy3,20x,PI,trainval
1869,21,AHPC,Cy3,20x,MAP2ab + RIP,trainval
862,2,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1013,20,AHPC,Cy3,20x,RIP,trainval
2474,12,AHPC,AF488,20x,Ki67 + RIP,trainval
1561,5,AHPC,Cy3,20x,MAP2ab,trainval
1405,31,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
212,30,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2719,54,RPC,Cy3,40x,GFAP,trainval
2080,26,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
571,0,AHPC,Cy3,20x,PI,trainval
3010,11,RPC,Cy3,40x,TuJ1,trainval
1976,31,AHPC,Cy3,20x,RIP,trainval
714,0,AHPC,Cy3,20x,PI,trainval
315,0,AHPC,Cy3,20x,PI,trainval
2634,43,AHPC,Cy3,20x,PI,trainval
1498,25,AHPC,Cy3,20x,RIP,trainval
837,3,AHPC,AF488,20x,MAP2ab,trainval
492,11,AHPC,Cy3,20x,MAP2ab,trainval
2033,26,AHPC,Cy3,20x,MAP2ab,trainval
2523,117,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1785,9,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2945,39,RPC,Cy3,40x,MAP2ab,trainval
1874,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2834,28,RPC,Cy3,40x,MAP2ab,trainval
853,0,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2188,16,AHPC,Cy3,20x,PI,trainval
2353,55,AHPC,Cy3,20x,PI,trainval
932,3,AHPC,AF488,20x,GFAP + Ki67,trainval
297,0,AHPC,Cy3,20x,PI,trainval
806,0,AHPC,Cy3,20x,MAP2ab,trainval
2264,74,AHPC,Cy3,20x,Ki67 + RIP,trainval
170,14,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
394,0,AHPC,Cy3,20x,PI,trainval
2647,14,AHPC,Cy3,20x,PI,trainval
2694,66,RPC,Cy3,40x,TuJ1,trainval
2807,58,RPC,Cy3,40x,TuJ1,trainval
1138,16,AHPC,Cy3,20x,MAP2ab,trainval
306,15,AHPC,Cy3,20x,PI,trainval
431,8,AHPC,Cy3,20x,RIP,trainval
1914,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2800,78,RPC,Cy3,40x,TuJ1,trainval
2133,0,AHPC,Cy3,20x,PI,trainval
1557,5,AHPC,Cy3,20x,MAP2ab,trainval
778,0,AHPC,Cy3,20x,PI,trainval
2698,52,RPC,Cy3,40x,TuJ1,trainval
1414,32,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2501,46,AHPC,Cy3,20x,Ki67 + RIP,trainval
2991,18,RPC,Cy3,40x,TuJ1,trainval
783,0,AHPC,Cy3,20x,PI,trainval
2054,11,AHPC,Cy3,20x,MAP2ab,trainval
1172,1,AHPC,Cy3,20x,PI,trainval
1553,12,AHPC,Cy3,20x,MAP2ab,trainval
1688,0,AHPC,Cy3,20x,PI,trainval
1585,0,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2256,113,AHPC,Cy3,20x,Ki67 + RIP,trainval
1839,18,AHPC,Cy3,20x,MAP2ab + RIP,trainval
485,9,AHPC,Cy3,20x,MAP2ab,trainval
1073,14,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2555,98,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1935,0,AHPC,Cy3,20x,PI,trainval
2390,35,AHPC,Cy3,20x,PI,trainval
1821,13,AHPC,AF488,20x,MAP2ab,trainval
889,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1649,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2772,1,RPC,Cy3,40x,GFAP,trainval
912,10,AHPC,AF488,20x,GFAP + Ki67,trainval
227,0,AHPC,Cy3,20x,PI,trainval
1722,0,AHPC,Cy3,20x,PI,trainval
210,5,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
118,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2865,102,RPC,Cy3,40x,TuJ1,trainval
1216,1,AHPC,Cy3,20x,PI,trainval
192,32,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1586,26,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
365,0,AHPC,Cy3,20x,PI,trainval
959,2,AHPC,Cy3,20x,PI,trainval
1712,0,AHPC,Cy3,20x,PI,trainval
1130,15,AHPC,Cy3,20x,MAP2ab,trainval
1907,0,AHPC,AF488,20x,GFAP + Ki67,trainval
1227,0,AHPC,Cy3,20x,PI,trainval
563,0,AHPC,Cy3,20x,PI,trainval
1770,0,AHPC,AF488,20x,GFAP + Ki67,trainval
2906,62,RPC,Cy3,40x,TuJ1,trainval
2873,37,RPC,Cy3,40x,MAP2ab,trainval
226,0,AHPC,Cy3,20x,PI,trainval
586,0,AHPC,Cy3,20x,PI,trainval
1479,0,AHPC,Cy3,20x,PI,trainval
2833,42,RPC,Cy3,40x,MAP2ab,trainval
678,0,AHPC,Cy3,20x,PI,trainval
2985,25,RPC,Cy3,40x,TuJ1,trainval
883,67,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2595,2,AHPC,Cy3,20x,PI,trainval
729,4,AHPC,Cy3,20x,PI,trainval
527,3,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2431,234,AHPC,Cy3,20x,Ki67 + RIP,trainval
1792,0,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1687,0,AHPC,Cy3,20x,PI,trainval
417,9,AHPC,Cy3,20x,RIP,trainval
560,0,AHPC,Cy3,20x,PI,trainval
823,6,AHPC,AF488,20x,MAP2ab,trainval
1711,0,AHPC,Cy3,20x,PI,trainval
939,1,AHPC,Cy3,20x,PI,trainval
2166,0,AHPC,Cy3,20x,PI,trainval
1451,11,AHPC,Cy3,20x,PI,trainval
1614,1,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1885,9,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1343,4,AHPC,Cy3,20x,MAP2ab,trainval
381,0,AHPC,Cy3,20x,PI,trainval
1042,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
669,3,AHPC,Cy3,20x,PI,trainval
1441,0,AHPC,Cy3,20x,PI,trainval
706,4,AHPC,Cy3,20x,PI,trainval
1301,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
61,61,AHPC,Cy3,20x,RIP,trainval
1125,7,AHPC,Cy3,20x,MAP2ab,trainval
410,19,AHPC,Cy3,20x,RIP,trainval
483,11,AHPC,Cy3,20x,MAP2ab,trainval
2947,59,RPC,Cy3,40x,MAP2ab,trainval
229,0,AHPC,Cy3,20x,PI,trainval
1755,0,AHPC,Cy3,20x,PI,trainval
2240,95,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1085,5,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1721,0,AHPC,Cy3,20x,PI,trainval
1462,0,AHPC,Cy3,20x,PI,trainval
649,6,AHPC,Cy3,20x,PI,trainval
2386,25,AHPC,Cy3,20x,PI,trainval
2645,18,AHPC,Cy3,20x,PI,trainval
2039,42,AHPC,Cy3,20x,MAP2ab,trainval
1816,9,AHPC,AF488,20x,MAP2ab,trainval
2652,22,AHPC,Cy3,20x,PI,trainval
453,0,AHPC,AF488,20x,GFAP + Ki67,trainval
1793,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1653,3,AHPC,AF488,20x,GFAP + Ki67,trainval
1777,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2203,0,AHPC,Cy3,20x,PI,trainval
2152,0,AHPC,Cy3,20x,PI,trainval
332,0,AHPC,Cy3,20x,PI,trainval
1774,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
278,1,AHPC,Cy3,20x,PI,trainval
416,18,AHPC,Cy3,20x,RIP,trainval
980,9,AHPC,Cy3,20x,RIP,trainval
1674,2,AHPC,AF488,20x,GFAP + Ki67,trainval
751,0,AHPC,Cy3,20x,PI,trainval
2886,65,RPC,Cy3,40x,MAP2ab,trainval
2363,85,AHPC,Cy3,20x,PI,trainval
688,0,AHPC,Cy3,20x,PI,trainval
2848,84,RPC,Cy3,40x,TuJ1,trainval
222,0,AHPC,Cy3,20x,PI,trainval
2402,118,AHPC,Cy3,20x,PI,trainval
2288,1,AHPC,Cy3,20x,GFAP,trainval
2750,147,RPC,Cy3,40x,TuJ1,trainval
2374,115,AHPC,Cy3,20x,PI,trainval
2292,0,AHPC,Cy3,20x,GFAP,trainval
3013,12,RPC,Cy3,40x,TuJ1,trainval
2383,79,AHPC,Cy3,20x,PI,trainval
1115,7,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1320,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2732,101,RPC,Cy3,40x,TuJ1,trainval
277,0,AHPC,Cy3,20x,PI,trainval
1124,20,AHPC,Cy3,20x,MAP2ab,trainval
2925,88,RPC,Cy3,40x,TuJ1,trainval
1543,9,AHPC,Cy3,20x,MAP2ab,trainval
1025,2,AHPC,AF488,20x,GFAP + Ki67,trainval
140,6,AHPC,Cy3,20x,MAP2ab,trainval
1939,1,AHPC,Cy3,20x,PI,trainval
1568,5,AHPC,Cy3,20x,MAP2ab,trainval
2674,126,RPC,Cy3,40x,TuJ1,trainval
95,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1069,5,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2837,40,RPC,Cy3,40x,MAP2ab,trainval
865,11,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2888,43,RPC,Cy3,40x,MAP2ab,trainval
1423,5,AHPC,Cy3,20x,PI,trainval
1871,91,AHPC,Cy3,20x,MAP2ab + RIP,trainval
1795,44,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2675,165,RPC,Cy3,40x,TuJ1,trainval
1027,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1844,0,AHPC,AF488,20x,MAP2ab,trainval
1376,3,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2738,61,RPC,Cy3,40x,TuJ1,trainval
835,4,AHPC,AF488,20x,MAP2ab,trainval
2948,38,RPC,Cy3,40x,MAP2ab,trainval
2459,90,AHPC,Cy3,20x,Ki67 + RIP,trainval
1264,18,AHPC,Cy3,20x,RIP,trainval
2968,21,RPC,Cy3,40x,MAP2ab,trainval
1979,28,AHPC,Cy3,20x,RIP,trainval
2218,0,AHPC,Cy3,20x,PI,trainval
1429,3,AHPC,Cy3,20x,PI,trainval
2872,62,RPC,Cy3,40x,MAP2ab,trainval
2449,121,AHPC,Cy3,20x,Ki67 + RIP,trainval
1783,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2438,56,AHPC,AF488,20x,Ki67 + RIP,trainval
1981,22,AHPC,Cy3,20x,RIP,trainval
2927,25,RPC,Cy3,40x,TuJ1,trainval
786,3,AHPC,Cy3,20x,PI,trainval
874,54,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1235,0,AHPC,Cy3,20x,PI,trainval
2768,8,RPC,Cy3,40x,GFAP,trainval
2141,0,AHPC,Cy3,20x,PI,trainval
815,5,AHPC,AF488,20x,MAP2ab,trainval
2669,51,AHPC,Cy3,20x,PI,trainval
2410,68,AHPC,Cy3,20x,PI,trainval
2147,0,AHPC,Cy3,20x,PI,trainval
1837,21,AHPC,Cy3,20x,MAP2ab + RIP,trainval
1283,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1434,4,AHPC,Cy3,20x,PI,trainval
2770,11,RPC,Cy3,40x,GFAP,trainval
1536,24,AHPC,Cy3,20x,RIP,trainval
438,9,AHPC,AF488,20x,GFAP + Ki67,trainval
2160,0,AHPC,Cy3,20x,PI,trainval
2151,2,AHPC,Cy3,20x,PI,trainval
2736,76,RPC,Cy3,40x,TuJ1,trainval
1137,21,AHPC,Cy3,20x,MAP2ab,trainval
902,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2328,74,AHPC,Cy3,20x,PI,trainval
2146,0,AHPC,Cy3,20x,PI,trainval
893,48,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
259,0,AHPC,Cy3,20x,PI,trainval
2247,7,AHPC,Cy3,20x,MAP2ab,trainval
79,26,AHPC,Cy3,20x,RIP,trainval
870,34,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
832,12,AHPC,AF488,20x,MAP2ab,trainval
233,0,AHPC,Cy3,20x,PI,trainval
3012,18,RPC,Cy3,40x,TuJ1,trainval
896,3,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1846,2,AHPC,AF488,20x,MAP2ab,trainval
1650,4,AHPC,AF488,20x,GFAP + Ki67,trainval
385,0,AHPC,Cy3,20x,PI,trainval
1181,0,AHPC,Cy3,20x,PI,trainval
885,4,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2527,103,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2482,183,AHPC,Cy3,20x,Ki67 + RIP,trainval
2602,54,AHPC,Cy3,20x,PI,trainval
2672,105,AHPC,Cy3,20x,PI,trainval
32,1,AHPC,Cy3,20x,PI,trainval
1034,0,AHPC,AF488,20x,GFAP + Ki67,trainval
545,12,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
945,0,AHPC,Cy3,20x,PI,trainval
48,13,AHPC,Cy3,20x,RIP,trainval
845,0,AHPC,Cy3,20x,MAP2ab,trainval
11,0,AHPC,Cy3,20x,PI,trainval
2111,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1967,35,AHPC,Cy3,20x,RIP,trainval
1311,2,AHPC,AF488,20x,GFAP + Ki67,trainval
2561,1,AHPC,Cy3,20x,GFAP,trainval
314,14,AHPC,Cy3,20x,PI,trainval
2211,0,AHPC,Cy3,20x,PI,trainval
599,0,AHPC,Cy3,20x,PI,trainval
1277,25,AHPC,Cy3,20x,RIP,trainval
1620,8,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2769,2,RPC,Cy3,40x,GFAP,trainval
852,11,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
335,0,AHPC,Cy3,20x,PI,trainval
292,0,AHPC,Cy3,20x,PI,trainval
2583,34,AHPC,Cy3,20x,PI,trainval
841,17,AHPC,AF488,20x,MAP2ab,trainval
2186,1,AHPC,Cy3,20x,PI,trainval
2649,22,AHPC,Cy3,20x,PI,trainval
1685,0,AHPC,Cy3,20x,PI,trainval
2266,98,AHPC,Cy3,20x,Ki67 + RIP,trainval
285,3,AHPC,Cy3,20x,PI,trainval
1767,0,AHPC,AF488,20x,GFAP + Ki67,trainval
1020,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
305,0,AHPC,Cy3,20x,PI,trainval
1959,0,AHPC,Cy3,20x,PI,trainval
1955,1,AHPC,Cy3,20x,PI,trainval
2377,106,AHPC,Cy3,20x,PI,trainval
1210,0,AHPC,Cy3,20x,PI,trainval
1545,5,AHPC,Cy3,20x,MAP2ab,trainval
1692,0,AHPC,Cy3,20x,PI,trainval
1634,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2751,157,RPC,Cy3,40x,TuJ1,trainval
56,14,AHPC,Cy3,20x,RIP,trainval
1379,16,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2864,74,RPC,Cy3,40x,TuJ1,trainval
764,0,AHPC,Cy3,20x,PI,trainval
2182,5,AHPC,Cy3,20x,PI,trainval
801,0,AHPC,Cy3,20x,MAP2ab,trainval
2300,0,AHPC,Cy3,20x,GFAP,trainval
641,4,AHPC,Cy3,20x,PI,trainval
263,0,AHPC,Cy3,20x,PI,trainval
1419,4,AHPC,Cy3,20x,PI,trainval
2932,101,RPC,Cy3,40x,TuJ1,trainval
1988,26,AHPC,Cy3,20x,RIP,trainval
668,0,AHPC,Cy3,20x,PI,trainval
1628,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1758,0,AHPC,Cy3,20x,PI,trainval
2946,25,RPC,Cy3,40x,MAP2ab,trainval
2490,112,AHPC,Cy3,20x,Ki67 + RIP,trainval
1858,41,AHPC,Cy3,20x,MAP2ab + RIP,trainval
2992,16,RPC,Cy3,40x,TuJ1,trainval
2129,0,AHPC,Cy3,20x,PI,trainval
1464,1,AHPC,Cy3,20x,PI,trainval
1290,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
758,0,AHPC,Cy3,20x,PI,trainval
1860,56,AHPC,Cy3,20x,MAP2ab + RIP,trainval
316,2,AHPC,Cy3,20x,PI,trainval
2581,23,AHPC,Cy3,20x,PI,trainval
2259,175,AHPC,Cy3,20x,Ki67 + RIP,trainval
1377,14,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
604,0,AHPC,Cy3,20x,PI,trainval
1847,0,AHPC,AF488,20x,MAP2ab,trainval
1651,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
530,4,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1024,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1450,3,AHPC,Cy3,20x,PI,trainval
2606,26,AHPC,Cy3,20x,PI,trainval
1665,0,AHPC,AF488,20x,GFAP + Ki67,trainval
2573,0,AHPC,Cy3,20x,GFAP,trainval
2547,129,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
588,0,AHPC,Cy3,20x,PI,trainval
1558,9,AHPC,Cy3,20x,MAP2ab,trainval
2578,24,AHPC,Cy3,20x,PI,trainval
2558,101,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1961,24,AHPC,Cy3,20x,RIP,trainval
1473,0,AHPC,Cy3,20x,PI,trainval
2733,76,RPC,Cy3,40x,TuJ1,trainval
774,0,AHPC,Cy3,20x,PI,trainval
666,2,AHPC,Cy3,20x,PI,trainval
1294,1,AHPC,AF488,20x,GFAP + Ki67,trainval
452,1,AHPC,AF488,20x,GFAP + Ki67,trainval
2752,216,RPC,Cy3,40x,TuJ1,trainval
880,59,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1075,0,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1829,49,AHPC,Cy3,20x,MAP2ab + RIP,trainval
854,0,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1894,5,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2190,2,AHPC,Cy3,20x,PI,trainval
900,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1647,1,AHPC,AF488,20x,GFAP + Ki67,trainval
2107,42,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1420,0,AHPC,Cy3,20x,PI,trainval
793,0,AHPC,AF488,20x,MAP2ab,trainval
2057,14,AHPC,Cy3,20x,MAP2ab,trainval
1737,0,AHPC,Cy3,20x,PI,trainval
368,0,AHPC,Cy3,20x,PI,trainval
124,3,AHPC,AF488,20x,GFAP + Ki67,trainval
1367,4,AHPC,Cy3,20x,MAP2ab,trainval
2306,0,AHPC,Cy3,20x,GFAP,trainval
1972,25,AHPC,Cy3,20x,RIP,trainval
1275,19,AHPC,Cy3,20x,RIP,trainval
625,0,AHPC,Cy3,20x,PI,trainval
2795,2,RPC,Cy3,40x,TuJ1,trainval
2110,5,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
525,7,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2212,0,AHPC,Cy3,20x,PI,trainval
290,0,AHPC,Cy3,20x,PI,trainval
1554,8,AHPC,Cy3,20x,MAP2ab,trainval
1656,2,AHPC,AF488,20x,GFAP + Ki67,trainval
1261,13,AHPC,Cy3,20x,RIP,trainval
